"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.00363129413754616,105,6405,51,0.00796252927400468,0.485714285714286,"GO:0003333","GO:BP","amino acid transmembrane transport",21625,1751,"GO:0006865,GO:0055085"
"query_1",TRUE,0.0049066278391895,187,6405,81,0.0126463700234192,0.433155080213904,"GO:0019318","GO:BP","hexose metabolic process",21625,5651,"GO:0005996"
"query_1",TRUE,0.00513845117578438,252,6405,104,0.0162373145979703,0.412698412698413,"GO:0005996","GO:BP","monosaccharide metabolic process",21625,1869,"GO:0005975,GO:0044281"
"query_1",TRUE,0.0069783067055983,110,6405,52,0.00811865729898517,0.472727272727273,"GO:0006865","GO:BP","amino acid transport",21625,2518,"GO:0006810"
"query_1",TRUE,0.00727222933757634,519,6405,194,0.0302888368462139,0.373795761078998,"GO:0032787","GO:BP","monocarboxylic acid metabolic process",21625,7765,"GO:0019752"
"query_1",TRUE,0.00828727282141211,36,6405,22,0.00343481654957065,0.611111111111111,"GO:0051156","GO:BP","glucose 6-phosphate metabolic process",21625,13359,"GO:0006796,GO:0019637,GO:1901135"
"query_1",TRUE,0.00868657367059692,290,6405,116,0.0181108508977361,0.4,"GO:0009416","GO:BP","response to light stimulus",21625,3466,"GO:0009314"
"query_1",TRUE,0.00926308417178669,3358,6405,1086,0.169555035128806,0.323406789755807,"GO:0006796","GO:BP","phosphate-containing compound metabolic process",21625,2474,"GO:0006793"
"query_1",TRUE,0.00948699978347497,3359,6405,1086,0.169555035128806,0.323310509080083,"GO:0006793","GO:BP","phosphorus metabolic process",21625,2471,"GO:0008152"
"query_1",TRUE,0.0126703230798816,170,6405,73,0.0113973458235753,0.429411764705882,"GO:0009657","GO:BP","plastid organization",21625,3558,"GO:0006996"
"query_1",TRUE,0.0132632318774987,1263,6405,432,0.0674473067915691,0.342042755344418,"GO:0006629","GO:BP","lipid metabolic process",21625,2334,"GO:0044238"
"query_1",TRUE,0.0133543047700814,352,6405,136,0.0212334113973458,0.386363636363636,"GO:0170039","GO:BP","proteinogenic amino acid metabolic process",21625,20026,"GO:0006520,GO:0019752"
"query_1",TRUE,0.0140186776019066,1035,6405,359,0.0560499609679938,0.346859903381643,"GO:0019637","GO:BP","organophosphate metabolic process",21625,5929,"GO:0006793"
"query_1",TRUE,0.0165195174959504,77,6405,38,0.00593286494925839,0.493506493506494,"GO:0042026","GO:BP","protein refolding",21625,9841,"GO:0006457"
"query_1",TRUE,0.0167109976482689,14,6405,11,0.00171740827478532,0.785714285714286,"GO:0010207","GO:BP","photosystem II assembly",21625,3976,"GO:0019684,GO:0065003"
"query_1",TRUE,0.0168375386140046,16,6405,12,0.00187353629976581,0.75,"GO:0005986","GO:BP","sucrose biosynthetic process",21625,1859,"GO:0005985,GO:0046351"
"query_1",TRUE,0.0168375386140046,18,6405,13,0.00202966432474629,0.722222222222222,"GO:0009097","GO:BP","isoleucine biosynthetic process",21625,3255,"GO:0006549,GO:0009082,GO:1901607"
"query_1",TRUE,0.0168375386140046,18,6405,13,0.00202966432474629,0.722222222222222,"GO:0006549","GO:BP","isoleucine metabolic process",21625,2261,"GO:0009081,GO:1901605"
"query_1",TRUE,0.0171804708810294,340,6405,131,0.0204527712724434,0.385294117647059,"GO:0170033","GO:BP","L-amino acid metabolic process",21625,20020,"GO:1901605"
"query_1",TRUE,0.0173278664109701,45,6405,25,0.0039032006245121,0.555555555555556,"GO:0015994","GO:BP","chlorophyll metabolic process",21625,5042,"GO:0006778"
"query_1",TRUE,0.0173871861005603,88,6405,42,0.00655737704918033,0.477272727272727,"GO:0061077","GO:BP","chaperone-mediated protein folding",21625,14977,"GO:0006457"
"query_1",TRUE,0.018099389275587,285,6405,112,0.0174863387978142,0.392982456140351,"GO:0043603","GO:BP","amide metabolic process",21625,10698,"GO:0008152"
"query_1",TRUE,0.018099389275587,4589,6405,1455,0.227166276346604,0.317062540858575,"GO:0050896","GO:BP","response to stimulus",21625,13167,"GO:0008150"
"query_1",TRUE,0.0192512982771714,549,6405,200,0.0312256049960968,0.364298724954463,"GO:0051604","GO:BP","protein maturation",21625,13631,"GO:0010467,GO:0019538"
